iter	Passed	Remaining
0	1	1258
1	1	934
2	2	812
3	3	755
4	3	714
5	4	704
6	4	688
7	5	672
8	6	660
9	6	654
10	7	654
11	7	653
12	8	647
13	9	641
14	9	636
15	10	629
16	10	623
17	11	618
18	11	618
19	12	615
20	13	613
21	13	610
22	14	611
23	15	611
24	15	611
25	16	609
26	16	607
27	17	604
28	17	601
29	18	598
30	19	596
31	19	594
32	20	593
33	20	592
34	21	590
35	22	590
36	22	592
37	23	598
38	24	596
39	24	593
40	25	592
41	25	590
42	26	588
43	27	588
44	27	587
45	28	585
46	28	585
47	29	582
48	30	584
49	30	584
50	31	583
51	31	582
52	32	580
53	33	579
54	33	578
55	34	576
56	34	576
57	35	575
58	36	574
59	36	573
60	37	571
61	37	572
62	38	571
63	39	570
64	39	569
65	40	568
66	40	567
67	41	566
68	41	565
69	42	564
70	43	563
71	43	563
72	44	562
73	44	561
74	45	563
75	46	565
76	47	564
77	47	562
78	48	561
79	48	560
80	49	559
81	49	558
82	50	554
83	50	554
84	51	553
85	51	552
86	52	552
87	53	551
88	53	550
89	54	549
90	54	549
91	55	548
92	56	548
93	56	547
94	57	550
95	58	549
96	58	548
97	59	547
98	60	546
99	60	546
100	61	545
101	61	545
102	62	544
103	63	546
104	64	545
105	64	545
106	65	544
107	65	543
108	66	542
109	66	541
110	67	540
111	68	540
112	68	539
113	69	538
114	69	537
115	70	536
116	70	535
117	71	534
118	72	534
119	72	533
120	73	533
121	73	531
122	74	530
123	75	529
124	75	529
125	76	529
126	76	527
127	77	526
128	77	525
129	78	524
130	78	523
131	79	522
132	80	521
133	80	520
134	81	520
135	81	519
136	82	518
137	82	517
138	83	517
139	84	516
140	84	515
141	85	513
142	85	512
143	86	512
144	86	511
145	87	510
146	87	508
147	88	507
148	88	506
149	89	505
150	89	504
151	90	504
152	90	503
153	91	502
154	92	501
155	92	500
156	93	499
157	93	498
158	94	497
159	94	496
160	94	494
161	95	493
162	95	492
163	96	491
164	97	490
165	97	490
166	98	489
167	98	488
168	99	487
169	99	487
170	100	486
171	100	485
172	101	484
173	101	484
174	102	483
175	103	482
176	103	481
177	104	480
178	104	479
179	105	479
180	105	478
181	106	478
182	106	477
183	107	476
184	107	475
185	108	474
186	109	474
187	109	473
188	110	472
189	110	471
190	111	471
191	111	470
192	112	469
193	112	469
194	113	469
195	114	468
196	114	468
197	115	467
198	116	467
199	116	466
200	117	466
201	117	465
202	118	465
203	119	464
204	119	463
205	120	463
206	120	463
207	121	463
208	122	462
209	122	462
210	123	461
211	123	460
212	124	459
213	124	459
214	125	458
215	126	457
216	126	456
217	127	455
218	127	455
219	128	454
220	128	454
221	129	454
222	130	453
223	130	452
224	131	452
225	131	451
226	132	450
227	132	449
228	133	449
229	133	448
230	134	447
231	135	446
232	135	446
233	136	445
234	136	445
235	137	444
236	137	443
237	138	443
238	138	442
239	139	441
240	139	440
241	140	440
242	141	439
243	141	438
244	142	437
245	142	437
246	143	436
247	144	436
248	144	436
249	145	435
250	145	435
251	146	434
252	146	433
253	147	433
254	148	432
255	148	431
256	149	431
257	149	430
258	150	429
259	150	429
260	151	428
261	152	428
262	152	427
263	153	426
264	153	426
265	154	425
266	154	424
267	155	424
268	155	423
269	156	422
270	156	421
271	157	421
272	158	420
273	158	420
274	159	420
275	159	419
276	160	419
277	161	418
278	161	418
279	162	417
280	162	417
281	163	416
282	164	415
283	164	415
284	165	414
285	165	414
286	166	413
287	167	413
288	167	413
289	168	412
290	169	411
291	169	411
292	170	410
293	170	410
294	171	409
295	171	408
296	172	408
297	173	407
298	173	406
299	174	406
300	174	405
301	175	405
302	176	405
303	177	405
304	177	404
305	178	404
306	178	403
307	179	403
308	180	402
309	180	402
310	181	401
311	182	401
312	182	401
313	183	400
314	184	400
315	184	399
316	185	399
317	185	398
318	186	398
319	187	397
320	187	396
321	188	396
322	188	396
323	189	395
324	190	395
325	191	395
326	191	394
327	192	394
328	193	393
329	193	393
330	194	392
331	194	391
